CustomerID,CustomerName,Age,AgeCategory,Gender,Country,Rating,PurchaseValue,EngagementScore
C0001,Shawn Stevens,56,Senior,Female,Germany,3.6,348.68,46.7
C0002,Edward Johnson,69,Senior,Male,USA,2.5,149.56,71.1
C0003,Amy Dawson,46,Adult,Male,USA,3.5,316.24,60.8
C0004,Courtney Harrison,32,Adult,Female,USA,3.1,208.71,65.2
C0005,Mary Jenkins,60,Senior,Male,USA,3.4,236.26,85.5
C0006,Kaitlin Parker,25,Young,Female,Canada,3.7,267.73,43.8
C0007,Tyler Matthews,38,Adult,Male,UK,4.5,158.58,72.5
C0008,Kathryn Gonzales,56,Senior,Male,UK,3.9,275.24,64.7
C0009,Alan Wilson,36,Adult,Female,USA,4.0,433.64,59.0
C0010,Aaron Baxter,40,Adult,Male,UK,3.0,156.63,80.9
C0011,Shane Leach,28,Young,Female,Germany,3.2,390.62,80.8
C0012,William Mclean,28,Young,Male,France,5.0,429.77,48.0
C0013,Joseph Bonilla III,41,Adult,Male,UK,3.3,152.06,61.7
C0014,Kurt Allen,70,Senior,Male,USA,5.0,75.39,70.1
C0015,Shane Lowe,53,Senior,Female,UK,3.6,286.24,60.1
C0016,Charles Arias,57,Senior,Male,UK,3.8,184.31,75.5
C0017,Tabitha Cordova,41,Adult,Female,USA,4.5,474.23,70.1
C0018,Christopher Joyce,20,Young,Male,Australia,4.7,254.18,98.0
C0019,Amy Wilson,39,Adult,Female,France,3.7,153.74,37.5
C0020,Spencer Perez,70,Senior,Male,France,3.5,112.34,62.8
C0021,Brett Hamilton,19,Young,Female,Germany,3.8,380.79,48.6
C0022,James Cooper,41,Adult,Female,Germany,4.0,181.46,75.9
C0023,Tina Robinson,61,Senior,Female,France,4.4,255.26,35.9
C0024,Angela Wright,47,Adult,Female,Pakistan,3.8,364.7,71.2
C0025,Frank Hale,55,Senior,Female,Pakistan,4.2,191.89,53.7
C0026,Courtney Johnson,19,Young,Female,USA,4.9,244.49,51.8
C0027,Dylan Cook,38,Adult,Male,Germany,4.1,248.01,39.0
C0028,Edwin Wright,50,Senior,Male,Germany,4.0,332.0,56.6
C0029,Victoria Campbell,29,Young,Female,Canada,2.7,320.89,84.5
C0030,William Gould,39,Adult,Female,Pakistan,2.0,223.59,64.5
C0031,Jane Wang,61,Senior,Female,France,4.1,257.64,76.3
C0032,Elizabeth Jacobs,42,Adult,Male,USA,3.7,205.39,95.0
C0033,Danielle Wallace,66,Senior,Male,France,3.4,72.69,69.7
C0034,Christina Monroe,44,Adult,Male,USA,4.0,280.91,54.9
C0035,Christopher Martinez,59,Senior,Female,UK,3.8,477.06,73.4
C0036,Rachel Williams,45,Adult,Male,USA,4.6,143.95,55.2
C0037,Karen Matthews,33,Adult,Male,Pakistan,3.9,157.24,55.9
C0038,Terri Cain,32,Adult,Male,USA,3.3,145.51,37.6
C0039,Kenneth Blevins,64,Senior,Male,UK,4.5,336.95,81.7
C0040,Anna Love,68,Senior,Female,Canada,3.6,303.82,58.1
C0041,Juan Walker,61,Senior,Male,USA,4.2,230.98,68.3
C0042,Dana Larson,69,Senior,Female,Germany,3.5,139.84,46.4
C0043,Lauren Montgomery,20,Young,Male,Germany,3.3,261.09,72.8
C0044,Carol Moore,54,Senior,Male,USA,3.9,62.25,51.3
C0045,Briana Evans,68,Senior,Male,India,3.8,267.21,62.4
C0046,Mr. Seth Moore,24,Young,Male,USA,4.1,354.58,80.8
C0047,Edward Gardner DDS,38,Adult,Male,Germany,3.6,99.86,79.2
C0048,Ronald Zimmerman,26,Young,Male,France,2.5,66.1,64.6
C0049,Megan Nichols,56,Senior,Female,Pakistan,3.5,439.53,33.2
C0050,Melissa Richardson,35,Adult,Male,Pakistan,4.4,176.59,100.0
C0051,Jessica Mack,21,Young,Female,UK,3.6,386.31,96.4
C0052,William Martinez,42,Adult,Female,USA,3.6,231.52,78.0
C0053,Amber Chung,31,Adult,Female,Pakistan,4.5,230.57,51.4
C0054,Sean Norris,67,Senior,Male,France,3.3,302.61,63.0
C0055,Brittany Miller,26,Young,Male,India,2.7,143.92,55.2
C0056,Gwendolyn Smith,43,Adult,Male,India,3.7,265.9,87.7
C0057,William Johnson,70,Senior,Male,India,3.5,204.22,69.7
C0058,Raven Cooper,19,Young,Female,Germany,3.1,91.54,50.9
C0059,Brittany Wilson,37,Adult,Male,UK,3.7,290.5,56.5
C0060,Michael Scott,45,Adult,Male,India,4.1,218.4,85.2
C0061,Tyler Houston,64,Senior,Female,Germany,3.8,231.16,93.8
C0062,Kathleen Lynch,24,Young,Female,USA,4.0,104.78,92.5
C0063,Deborah Hernandez,61,Senior,Female,India,5.0,440.97,78.6
C0064,Sean Scott,25,Young,Male,Canada,3.6,355.21,60.5
C0065,Miguel Osborne,64,Senior,Male,Germany,4.0,365.7,10.0
C0066,Adam Jackson,52,Senior,Male,USA,3.4,213.35,70.3
C0067,Larry Johnson,31,Adult,Male,UK,3.2,42.5,65.0
C0068,Kevin Schultz,34,Adult,Male,India,3.4,484.35,67.5
C0069,Wendy Watson,53,Senior,Male,Canada,3.5,242.67,66.0
C0070,Barbara Welch,67,Senior,Male,USA,4.1,160.14,41.1
C0071,Lori Lewis,57,Senior,Male,USA,5.0,300.02,75.0
C0072,James Nguyen,21,Young,Male,Canada,3.3,390.05,76.4
C0073,Heather Lee,19,Young,Female,UK,3.5,247.23,77.3
